katt|Husdjur som jamar
tyst|Utan ljud
musik|Ljuda som man lyssnar på
sång|Musik med ord
dans|Rörelse till musik
saga|Berättelse för barn
film|Berättelse på skärm
telefon|Ringer till folk
klocka|Visar tiden
foto|Bild man tagit
kamera|Tar bilder
lampa|Ger ljus i rummet
spegel|Visar din bild
påse|Bär saker i denna
flaska|Håller dryck
tallrik|Mat läggs på denna
gaffel|Äter med denna
sked|Äter soppa med denna
kniv|Skär mat med denna
glas|Dricker ur detta
såpa|Tvättar händer med
handduk|Torkar kroppen
tandborste|Rengör tänder
kudde|Mjuk att sova på
filt|Varm över sängen
gardin|Hänger för fönstret
matta|Ligger på golvet
hylla|Böcker står här
lås|Håller dörren stängd
rep|Tjockt snöre att knyta
papper|Skriver och ritar på
trä|Material från träd
moln|Vit eller grå på himlen
åska|Högt ljud i oväder
blixt|Ljus i åskväder
regnbåge|Färger efter regn
is|Fruset vatten
storm|Mycket vind och regn
hav|Stort saltvatten
sjö|Vatten omgivet av land
å|Rinner till sjön eller hav
strand|Sand vid vattnet
ö|Land omgivet av vatten
berg|Hög klippformation
skog|Många träd tillsammans
äng|Gräsmark med blommor
väg|Bilar kör här
bro|Förbinder två sidor
hus|Byggnad att bo i
slott|Kunglig bostad
butik|Köper saker här
stad|Många hus och gator
by|Liten ort med hus
flagga|Symbol för ett land
flygplan|Flyger i luften
tåg|Åker på räls
häst|Rids på denna
får|Ger ull
kanin|Hoppar med långa öron
hamster|Litet gnagare som husdjur
mus|Liten gnagare
ekorre|Klättrar och samlar nötter
hjort|Skogsdjur med horn
älg|Stort skogsdyr i Sverige
val|Stort havsdjur
pingvin|Fågel som inte flyger
fjäril|Insekt med färgglada vingar
orm|Reptil utan ben
valp|Ung hund
kattunge|Ung katt
lamm|Ungt får
kyckling|Ung höna
fotboll|Sparkar boll i mål
basket|Kastar boll i korg
tennis|Boll över nät med racket
cykel|Sport på två hjul
pokal|Pris för vinnaren
medalj|Hänger runt halsen
kärlek|Stark känsla för någon
vänskap|Bästa kompisar har detta
läxa|Görs hemma efter skolan
prov|Test i skolan
docka|Leksak som ser ut som person
gosedjur|Mjuk kramdjur
pussel|Bitar som passar ihop
gunga|Svänger fram och tillbaka
rutschkana|Glider ner på lekplatsen
snögubbe|Byggs av tre snöbollar
vantar|Värmer händerna
mössa|Värmer huvudet
jacka|Ytterplagg mot kyla
paraply|Skyddar mot regn
höger|Inte vänster
vänster|Inte höger
cirkel|Rund form
hjärta|Symbol för kärlek
bokstav|A B C och så vidare
ord|Flera bokstäver tillsammans
språk|Svenska är ett
svenska|Språket i Sverige
plus|Lägger ihop tal
minus|Tar bort tal
noll|Inget alls
hundra|Tio gånger tio
alltid|Varje gång
aldrig|Inte en enda gång
ibland|Då och då
nu|Just i detta ögonblick
snart|Om en liten stund
mycket|I stor mängd
lite|I liten mängd
först|Innan alla andra
sist|Efter alla andra
här|På denna plats
där|På den platsen
hemma|I sitt eget hus
prins|Kungens son
prinsessa|Kungens dotter
kung|Härskare av landet
drake|Eldsprutande sagoväsen
äventyr|Spännande upplevelse
magi|Omöjliga trick
polis|Skyddar och fångar tjuvar
brandman|Släcker bränder
läkare|Helar sjuka
bagare|Bakar bröd
bonde|Odlar på gården
fiskare|Fångar fisk
pilot|Styr flygplanet
idrott|Röra kroppen med regler
seger|Man har vunnit
skridsko|Glider på is
snöboll|Kastar på vintern
radio|Spelar musik och nyheter
teve|Tittar på program
servett|Torkar munnen med
tejp|Klistrar ihop saker
sax|Klipper papper
lim|Fäster ihop saker
järn|Hård metall
guld|Gul dyr metall
silver|Vit blank metall
rök|Kommer från eld
dimma|Tjock luft som döljer
bäck|Litet vattendrag
kulle|Liten upphöjning
dal|Lågt mellan berg
fält|Öppen mark för grödor
tunnel|Går under mark eller berg
torn|Mycket högt bygge
kyrka|Plats för gudstjänst
sjukhus|Får vård här
bibliotek|Lånar böcker här
zoo|Ser vilda djur här
teater|Skådespelare uppträder
värld|Jorden vi bor på
jordglob|Rund karta av jorden
rymd|Där stjärnorna finns
planet|Jorden är en
raket|Flyger till rymden
motorcykel|Tvåhjuling med motor
skidor|Glider på snö
kanot|Smal båt att paddla
hamn|Båtar ligger här
get|Djur med horn och skägg
igelkott|Piggsamt djur
varg|Ylar på natten
säl|Klipper med fenor
haj|Havsfisk med tänder
delfin|Klok havsdjur
sparv|Liten stadfågel
kråka|Svart fågel
duva|Symbol för fred
geting|Gul och svart som kan sticka
fluga|Surrande insekt
snigel|Långsam med skal
kalv|Ung ko
frukost|Första måltiden
lunch|Mat på dagen
middag|Kvällsmat
hunger|Vill äta
törst|Vill dricka
god|Smakar bra
ugn|Bakar bröd och kakor
spis|Mat lagas här
kylskåp|Mat hålls kall här
present|Gåva i paket
kalas|Fest med vänner
ljus|Tänds på tårtan
ballong|Svävar med luft inuti
troll|Väsen i sagor
älva|Liten magisk varelse
skatt|Guld och juveler gömda
pirat|Sjörövare på havet
tandläkare|Fixar tänder
frisör|Klipper hår
målare|Målar väggar
musiker|Spelar instrument
clown|Rolig med röd näsa
simning|Tävling i vatten
löpning|Springer fort
lag|Spelar tillsammans
mål|Där bollen ska in
tur|Man har flyt
hopp|Tror på något gott
klass|Grupp av elever
pennvässare|Gör penna spetsig
suddgummi|Raderar det man skrivit
linjal|Mäter och ritar raka linjer
lego|Bygger med klossar
kortspel|Spelar med kortlek
tärning|Kastas i spel
drake|Flyger i vinden på snöre
sandlåda|Sand att leka i
sparkcykel|Tre hjul för små barn
halka|Isigt och man faller
stövlar|Skor för regn och snö
baddräkt|Kläder för att bada
fyrkant|Fyra lika sidor
triangel|Form med tre hörn
mening|Flera ord med punkt
siffra|Tecken för tal
meter|Längre än centimeter
kilo|Viktenhet
dubbel|Två gånger
sant|Stämmer
falskt|Stämmer inte
också|Dessutom
nära|Inte långt borta
ovan|Över något
under|Nedanför
bredvid|Vid sidan av
